Issue,Subject,Company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,escalated,settings,Thank you for reaching out. Your request has been flagged for review by our support team. A human agent will follow up with you shortly to assist with your case.,Escalated: account access restoration requires human review. This type of request requires direct handling by a human support agent.,product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,screen,Thank you for reaching out. Your request has been flagged for review by our support team. A human agent will follow up with you shortly to assist with your case.,Escalated: dispute requires human review. This type of request requires direct handling by a human support agent.,product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,escalated,dispute_resolution,Thank you for reaching out. Your request has been flagged for review by our support team. A human agent will follow up with you shortly to assist with your case.,Escalated: refund request requires human review. This type of request requires direct handling by a human support agent.,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,dispute_resolution,Thank you for reaching out. Your request has been flagged for review by our support team. A human agent will follow up with you shortly to assist with your case.,Escalated: refund request requires human review. This type of request requires direct handling by a human support agent.,bug
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,escalated,general_support,Thank you for reaching out. Your request has been flagged for review by our support team. A human agent will follow up with you shortly to assist with your case.,Escalated: payment/order issue requires human review. This type of request requires direct handling by a human support agent.,bug
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,evaluation_guides,Thank you for reaching out. Your request has been flagged for review by our support team. A human agent will follow up with you shortly to assist with your case.,Escalated: infosec/compliance requires human specialist. This type of request requires direct handling by a human support agent.,product_issue
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,replied,skillup,"Based on our support documentation:

- Company Administrator access for HackerRank - you need to be able to see the ATS integrations page

1.  I have entered a Harvest API Token. Why can I still not see the Outcome Data?\
    If all your permissions are correct, then you will see Outcome Data in Test Health Dashboard in the next 24 - 48 hours.\
    If you are getting an error, please ensure that you have enabled the correct permissions for your Greenhouse Harvest API Key. You can find this in Step 5 of the “Inside Greenhouse” section of this document.\
    \

3.  Where can I see Outcome Data on a company level?\
    Today, we are using the Outcome Data as an indicator of your Test performance. Hence, it is available inside your Test Health Dashboard.\
    We are working to provide you with more insights using this information. Please reach out to your HackerRank representative for requests or feedback on how you would like to see this Outcome Data.\
    \

I am unable to see Interviewer details within the Interview generated on HackerRank.

6.  I do not see the time and schedule information inside HackerRank.\
    We have made this integration lightweight and enabled all scheduling through your calendar app. The timing and scheduling information will be directly available in your calendar event.\
    This way, you can reschedule your event as required and still use the same Hac","Responded using HackerRank support documentation (""Enabling Outcome Data and Public Link with Greenhouse""). Request classified as bug; no escalation triggers detected.",bug
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,screen,Thank you for reaching out. Your request has been flagged for review by our support team. A human agent will follow up with you shortly to assist with your case.,Escalated: widespread service issue requires engineering escalation. This type of request requires direct handling by a human support agent.,product_issue
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,screen,"Based on our support documentation:

Why do I not have permission in HackerRank for Work to grade a Test I was invited to through Greenhouse?

Why do I see an error in Greenhouse prompting me to publish the selected HackerRank Test before inviting candidates?

In the first example, this is a Python error where something in their code is being converted to an integer, but the value they passed in, in this case, the word '99.95', is giving an error. This is a common error with a few ways to fix it, and the candidate would see the “ValueError” in the test cases during their assessment, which lets them know the test case isn’t passing and it’s due to this error which they have to fix.

Below are two examples that could come up in the test cases, but there are many other situations this error may show up.

- For example, in Python, the code must execute within 10 seconds. If the candidate’s code takes longer than permitted, the test case will fail and be marked with a “Terminated due to timeout” error.

I am unable to see Interviewer details within the Interview generated on HackerRank.

I am unable to see candidate details within the Interview generated on HackerRank.

A number of our enterprise customers - i.e those who use HackerRank for Work Tests and Interviews for the evaluation phase, also use some other IT systems to manage their overall hiring process. These systems could e","Responded using HackerRank support documentation (""Greenhouse-HackerRank Integration FAQs API Token and Access Tests and Interviews Common Troubleshooting""). Request classified as bug; no escalation triggers detected.",bug
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,escalated,screen,Thank you for reaching out. Your request has been flagged for review by our support team. A human agent will follow up with you shortly to assist with your case.,Escalated: rescheduling assessment requires company/HR decision. This type of request requires direct handling by a human support agent.,product_issue
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,replied,screen,"Based on our support documentation:

Once you have sent out your invitations and candidates have begun to submit tests, you will want to evaluate the candidate’s scores in order to analyze the Candidate performance trends. This step will help you understand which candidates to further evaluate for the initial phone screen with the recruiter. If the phone screen is a success, you will have the information needed to invite them in for a virtual onsite interview session.

It's important that interviewers ask the same or similar set of questions to every candidate applying for a role. These templates ensure that each interviewer is asking the candidate the right questions.

It is crucial to make hiring decisions that can be backed by data. Some interviewers are easy graders than others, so benchmarking can take the subjectivity out of the decision, making the final decision easier across multiple interviews.

This screening is a chance for you to get a feel for the candidate and their interest. If there is a mutual interest, now is a good time to let them know that they will be invited to a virtual onsite interview. Set the expectations with them of what they can expect for the in-person interview.

The interview phase will typically include a few interviewers. The beginning of the interview is usually the best time to ask behavioral questions to identify if the candidate is a good","Responded using HackerRank support documentation (""Early Talent""). Request classified as product_issue; no escalation triggers detected.",product_issue
